                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4212,                 2.3969,                 1.2842,                 0.5383,                0.42151,                0.44194,                0.27175,                 1.4127,                 1.6401,                   1.28,             0.00030131,             0.00030131,             0.00030131
                      2,                 1.4883,                 1.7999,                 1.3362,                0.47702,                0.37758,                0.36193,                0.21022,                 1.5488,                 1.8121,                 1.3859,             0.00059832,             0.00059832,             0.00059832
                      3,                  1.548,                 1.8318,                 1.3876,                0.48232,                0.35517,                 0.3693,                0.20855,                 1.6062,                 1.7382,                 1.4207,             0.00088934,             0.00088934,             0.00088934
                      4,                 1.5758,                 1.8076,                 1.3951,                0.51641,                0.35876,                 0.3676,                0.20117,                 1.5845,                 1.7653,                 1.4483,               0.000882,               0.000882,               0.000882
                      5,                 1.5542,                 1.7464,                 1.3898,                0.43837,                0.39082,                0.36673,                0.20847,                 1.6023,                 1.8174,                 1.4443,               0.000882,               0.000882,               0.000882
                      6,                 1.5343,                  1.695,                 1.3785,                0.48771,                0.36206,                0.37341,                0.20987,                 1.5933,                 1.6702,                 1.4484,               0.000873,               0.000873,               0.000873
                      7,                 1.5295,                 1.6618,                 1.3788,                0.54311,                0.37365,                0.40694,                0.23793,                 1.5734,                 1.6685,                 1.4252,               0.000864,               0.000864,               0.000864
                      8,                 1.5105,                 1.6296,                 1.3695,                0.53625,                0.39904,                0.42141,                0.24858,                 1.5426,                 1.6283,                 1.3929,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.4996,                 1.5864,                 1.3624,                0.56391,                0.44255,                0.44357,                 0.2635,                 1.5342,                 1.5759,                 1.3795,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.4879,                 1.5792,                  1.355,                0.59481,                0.41516,                0.45872,                0.27463,                 1.5124,                 1.5152,                 1.3733,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.4933,                 1.5486,                 1.3463,                0.60235,                0.38728,                0.43127,                0.25149,                 1.5463,                 1.5512,                 1.4016,             0.00082801,             0.00082801,             0.00082801
