                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3228,                 1.2504,                 1.2607,                 0.6428,                0.47841,                0.54111,                0.34332,                 1.3923,                 1.2949,                 1.2932,             0.00066902,             0.00066902,             0.00066902
                     35,                 1.3141,                 1.2401,                 1.2521,                0.64638,                0.48248,                0.53801,                0.34236,                  1.388,                 1.2885,                 1.2996,             0.00066152,             0.00066152,             0.00066152
                     36,                 1.3234,                 1.2451,                 1.2544,                0.64276,                 0.4941,                 0.5385,                0.34271,                 1.3785,                 1.2799,                 1.2881,             0.00065403,             0.00065403,             0.00065403
                     37,                 1.3158,                 1.2323,                 1.2514,                0.67253,                0.48475,                0.53939,                0.34819,                 1.3798,                 1.2782,                 1.2947,             0.00064653,             0.00064653,             0.00064653
                     38,                 1.2973,                 1.2074,                 1.2454,                0.65483,                0.48433,                0.54247,                0.34779,                 1.3708,                 1.2806,                 1.2902,             0.00063903,             0.00063903,             0.00063903
                     39,                 1.2935,                 1.2209,                 1.2426,                0.66736,                0.47031,                 0.5431,                0.34657,                 1.3742,                 1.2758,                 1.3009,             0.00063153,             0.00063153,             0.00063153
                     40,                 1.2904,                  1.202,                 1.2418,                0.66684,                0.48024,                0.54615,                0.34855,                 1.3865,                 1.2816,                 1.3038,             0.00062403,             0.00062403,             0.00062403
                     41,                  1.305,                  1.199,                 1.2439,                0.65013,                0.48429,                0.54491,                0.34761,                 1.3839,                 1.2617,                  1.301,             0.00061653,             0.00061653,             0.00061653
                     42,                 1.2827,                 1.1774,                 1.2293,                0.63509,                0.51043,                0.54802,                0.34841,                 1.3892,                 1.2634,                 1.3097,             0.00060903,             0.00060903,             0.00060903
                     43,                  1.285,                 1.1871,                 1.2391,                0.62212,                0.50809,                0.54275,                0.34558,                  1.386,                 1.2634,                 1.2957,             0.00060153,             0.00060153,             0.00060153
                     44,                 1.2785,                  1.168,                 1.2281,                0.66792,                0.46622,                0.53356,                0.34522,                 1.3839,                 1.2771,                  1.299,             0.00059403,             0.00059403,             0.00059403
                     45,                 1.2774,                 1.1682,                 1.2273,                0.65164,                0.49173,                0.55047,                0.35567,                 1.3722,                 1.2471,                 1.2891,             0.00058653,             0.00058653,             0.00058653
                     46,                 1.2703,                 1.1525,                 1.2243,                0.65429,                0.50273,                0.55576,                0.35716,                 1.3886,                 1.2566,                 1.3041,             0.00057903,             0.00057903,             0.00057903
                     47,                 1.2758,                 1.1607,                 1.2254,                 0.6383,                0.50215,                0.54993,                0.35035,                 1.3722,                 1.2361,                 1.2928,             0.00057153,             0.00057153,             0.00057153
                     48,                 1.2561,                 1.1397,                 1.2221,                 0.6952,                0.48128,                0.55235,                0.35569,                  1.368,                 1.2357,                 1.2859,             0.00056403,             0.00056403,             0.00056403
                     49,                 1.2595,                  1.141,                 1.2173,                0.67301,                0.48702,                0.54729,                 0.3534,                  1.369,                  1.253,                 1.2924,             0.00055654,             0.00055654,             0.00055654
                     50,                 1.2592,                 1.1449,                 1.2191,                0.66861,                0.49054,                0.55492,                0.35936,                 1.3623,                 1.2204,                 1.2825,             0.00054904,             0.00054904,             0.00054904
                     51,                 1.2576,                 1.1276,                  1.217,                0.66655,                0.49134,                0.55078,                0.35337,                 1.3669,                 1.2342,                 1.2916,             0.00054154,             0.00054154,             0.00054154
                     52,                 1.2405,                 1.1189,                 1.2102,                0.66496,                0.49391,                0.55884,                0.36248,                 1.3695,                 1.2331,                 1.2939,             0.00053404,             0.00053404,             0.00053404
                     53,                 1.2497,                 1.1253,                 1.2109,                0.64963,                0.49036,                0.54687,                0.35477,                  1.376,                 1.2387,                 1.2968,             0.00052654,             0.00052654,             0.00052654
                     54,                 1.2451,                 1.1101,                  1.209,                0.63693,                0.50481,                0.54849,                0.35428,                 1.3696,                 1.2446,                 1.2873,             0.00051904,             0.00051904,             0.00051904
                     55,                 1.2371,                 1.0994,                 1.2043,                0.66866,                0.48923,                0.55506,                0.35966,                 1.3649,                 1.2294,                  1.288,             0.00051154,             0.00051154,             0.00051154
                     56,                 1.2382,                 1.0987,                 1.2031,                0.65296,                0.50295,                0.55723,                0.36196,                 1.3582,                 1.2156,                 1.2776,             0.00050404,             0.00050404,             0.00050404
                     57,                 1.2283,                  1.093,                 1.2024,                0.64309,                 0.5115,                0.56197,                0.36259,                 1.3622,                 1.2137,                 1.2894,             0.00049654,             0.00049654,             0.00049654
                     58,                 1.2408,                 1.1042,                 1.2041,                0.66365,                0.49594,                0.55779,                0.36113,                 1.3561,                  1.208,                 1.2853,             0.00048904,             0.00048904,             0.00048904
