                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2936,                 1.1909,                 1.2343,                0.63272,                0.47852,                0.53043,                0.34199,                 1.3929,                 1.2768,                  1.297,             0.00062103,             0.00062103,             0.00062103
                     35,                 1.2806,                 1.1842,                 1.2293,                0.66268,                0.47307,                0.53312,                0.34496,                  1.388,                 1.2693,                 1.2931,             0.00061203,             0.00061203,             0.00061203
                     36,                 1.2933,                 1.1677,                 1.2247,                0.63155,                 0.4761,                0.53522,                0.34687,                 1.3794,                 1.2605,                  1.288,             0.00060303,             0.00060303,             0.00060303
                     37,                 1.2915,                 1.1814,                  1.227,                0.64304,                0.48581,                0.52891,                0.34132,                 1.3873,                 1.2664,                 1.2982,             0.00059403,             0.00059403,             0.00059403
                     38,                 1.2755,                  1.154,                 1.2234,                0.64894,                0.48326,                0.53945,                0.35233,                 1.3936,                 1.2574,                 1.2938,             0.00058503,             0.00058503,             0.00058503
                     39,                 1.2657,                  1.147,                 1.2241,                0.63055,                0.48379,                0.53185,                  0.344,                 1.3803,                 1.2604,                 1.2992,             0.00057603,             0.00057603,             0.00057603
                     40,                 1.2633,                  1.136,                 1.2217,                 0.6585,                 0.4766,                0.53538,                 0.3415,                 1.4042,                 1.2621,                 1.3073,             0.00056703,             0.00056703,             0.00056703
                     41,                 1.2659,                   1.13,                 1.2188,                0.64827,                0.48682,                 0.5476,                0.35354,                 1.3874,                 1.2383,                 1.2977,             0.00055804,             0.00055804,             0.00055804
                     42,                 1.2502,                 1.1123,                 1.2082,                0.63424,                0.49063,                0.54611,                0.35151,                 1.3886,                 1.2554,                 1.2977,             0.00054904,             0.00054904,             0.00054904
                     43,                 1.2558,                 1.1181,                 1.2052,                0.68032,                0.47929,                0.54418,                0.35273,                 1.3702,                 1.2459,                 1.2878,             0.00054004,             0.00054004,             0.00054004
                     44,                 1.2523,                 1.1065,                 1.2076,                0.66116,                0.49607,                0.55343,                0.35593,                 1.3835,                 1.2324,                 1.2926,             0.00053104,             0.00053104,             0.00053104
                     45,                 1.2387,                 1.1018,                  1.199,                0.67656,                0.49031,                0.55187,                0.35518,                 1.3748,                 1.2224,                 1.2976,             0.00052204,             0.00052204,             0.00052204
                     46,                 1.2392,                  1.091,                  1.202,                0.63127,                0.50154,                0.55009,                0.35161,                  1.384,                 1.2273,                 1.2904,             0.00051304,             0.00051304,             0.00051304
                     47,                 1.2485,                 1.0942,                 1.2032,                0.65223,                0.49824,                0.54827,                0.35384,                 1.3937,                   1.23,                 1.3042,             0.00050404,             0.00050404,             0.00050404
                     48,                 1.2374,                 1.0825,                 1.1963,                0.66213,                 0.4901,                 0.5487,                0.35206,                 1.3858,                 1.2226,                 1.2987,             0.00049504,             0.00049504,             0.00049504
                     49,                 1.2324,                 1.0866,                 1.1988,                0.67543,                0.48972,                 0.5489,                0.34908,                  1.377,                 1.2276,                 1.2892,             0.00048604,             0.00048604,             0.00048604
                     50,                 1.2186,                 1.0584,                 1.1865,                0.65838,                0.49605,                0.55262,                0.36056,                 1.3706,                 1.2221,                 1.2865,             0.00047704,             0.00047704,             0.00047704
                     51,                 1.2291,                 1.0649,                 1.1877,                0.67332,                0.49731,                 0.5581,                 0.3579,                 1.3762,                 1.2037,                 1.2876,             0.00046804,             0.00046804,             0.00046804
                     52,                 1.2201,                 1.0529,                 1.1822,                0.69416,                0.49247,                0.56138,                0.35898,                 1.3822,                 1.2098,                 1.2925,             0.00045904,             0.00045904,             0.00045904
                     53,                 1.2022,                 1.0458,                 1.1807,                0.67558,                0.48487,                0.55037,                0.35764,                 1.3833,                 1.2196,                 1.2885,             0.00045005,             0.00045005,             0.00045005
                     54,                 1.2158,                 1.0416,                  1.182,                0.65026,                0.50515,                0.54838,                  0.356,                 1.3812,                 1.2254,                 1.2851,             0.00044105,             0.00044105,             0.00044105
                     55,                 1.2114,                 1.0364,                 1.1848,                 0.6398,                0.49748,                0.55159,                0.35886,                  1.367,                 1.2133,                 1.2815,             0.00043205,             0.00043205,             0.00043205
                     56,                 1.1966,                 1.0202,                 1.1719,                0.64905,                0.50554,                0.55453,                0.35891,                 1.3673,                 1.2025,                 1.2812,             0.00042305,             0.00042305,             0.00042305
                     57,                 1.1948,                 1.0182,                 1.1691,                0.66435,                0.49735,                0.55465,                0.35916,                 1.3672,                 1.2114,                 1.2868,             0.00041405,             0.00041405,             0.00041405
                     58,                 1.1894,                 1.0201,                 1.1735,                0.66774,                0.50674,                0.55846,                0.36246,                 1.3686,                 1.1942,                 1.2829,             0.00040505,             0.00040505,             0.00040505
                     59,                 1.1874,                 1.0208,                 1.1739,                0.68718,                0.50284,                0.55941,                0.36445,                 1.3602,                 1.1961,                 1.2792,             0.00039605,             0.00039605,             0.00039605
                     60,                 1.1919,                 1.0153,                 1.1726,                0.63851,                0.50618,                0.55319,                0.35776,                 1.3635,                  1.213,                 1.2839,             0.00038705,             0.00038705,             0.00038705
                     61,                 1.1907,                 1.0112,                 1.1675,                0.67608,                 0.5007,                0.55289,                0.35897,                 1.3709,                 1.2184,                 1.2908,             0.00037805,             0.00037805,             0.00037805
                     62,                 1.1787,                0.99508,                 1.1677,                0.68702,                 0.4965,                0.55809,                0.36049,                 1.3652,                 1.2004,                  1.281,             0.00036905,             0.00036905,             0.00036905
